From	To	Edits	Jaro-Winkler	Total Distance	Edit list
acof	covfefe	5	0.726	0	delete 'a' at 1, insert 'v' at 3, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
boff	covfefe	4	0.726	2	replace 'b' at 1 with 'c' (distance 2), insert 'v' at 3, insert 'e' at 5, insert 'e' at 7, 
bove	covfefe	4	0.726	2	replace 'b' at 1 with 'c' (distance 2), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
c	covfefe	6	0.743	0	insert 'o' at 2, insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
cafe	covfefe	4	0.754	2.24	insert 'o' at 2, insert 'v' at 3, insert 'f' at 4, replace 'a' at 2 with 'e' (distance 2.24), 
cfe	covfefe	4	0.829	0	insert 'o' at 2, insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, 
cfo	covfefe	5	0.729	6	insert 'o' at 2, insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, replace 'o' at 3 with 'e' (distance 6), 
co	covfefe	5	0.81	0	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
cob	covfefe	5	0.721	2.83	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'b' at 3 with 'e' (distance 2.83), 
cobe	covfefe	4	0.781	1.41	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, replace 'b' at 3 with 'f' (distance 1.41), 
coc	covfefe	5	0.721	2	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'c' at 3 with 'e' (distance 2), 
cod	covfefe	5	0.721	1	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'd' at 3 with 'e' (distance 1), 
codcf	covfefe	4	0.741	3	insert 'v' at 3, replace 'd' at 3 with 'f' (distance 1), replace 'c' at 4 with 'e' (distance 2), insert 'e' at 7, 
codec	covfefe	4	0.741	3	insert 'v' at 3, replace 'd' at 3 with 'f' (distance 1), insert 'f' at 6, replace 'c' at 5 with 'e' (distance 2), 
coe	covfefe	4	0.848	0	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
coees	covfefe	4	0.832	2.83	insert 'v' at 3, insert 'f' at 4, replace 'e' at 4 with 'f' (distance 1.41), replace 's' at 5 with 'e' (distance 1.41), 
coer	covfefe	4	0.781	1	insert 'v' at 3, insert 'f' at 4, insert 'f' at 6, replace 'r' at 4 with 'e' (distance 1), 
coff	covfefe	3	0.886	0	insert 'v' at 3, insert 'e' at 5, insert 'e' at 7, 
coi	covfefe	5	0.721	5	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'i' at 3 with 'e' (distance 5), 
col	covfefe	5	0.721	6.08	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'l' at 3 with 'e' (distance 6.08), 
com	covfefe	5	0.721	3.61	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'm' at 3 with 'e' (distance 3.61), 
comdex	covfefe	4	0.714	3	replace 'm' at 3 with 'v' (distance 2), replace 'd' at 4 with 'f' (distance 1), insert 'f' at 6, replace 'x' at 6 with 'e' (non-letter, distance ignored), 
coo	covfefe	5	0.721	6	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'o' at 3 with 'e' (distance 6), 
cop	covfefe	5	0.721	7	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'p' at 3 with 'e' (distance 7), 
coq	covfefe	5	0.721	2	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'q' at 3 with 'e' (distance 2), 
core	covfefe	4	0.781	1	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, replace 'r' at 3 with 'f' (distance 1), 
cornet	covfefe	4	0.714	6.24	replace 'r' at 3 with 'v' (distance 2), replace 'n' at 4 with 'f' (distance 2.24), insert 'f' at 6, replace 't' at 6 with 'e' (distance 2), 
cos	covfefe	5	0.721	1.41	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 's' at 3 with 'e' (distance 1.41), 
cosine	covfefe	4	0.714	9.24	insert 'v' at 3, replace 's' at 3 with 'f' (distance 2), replace 'i' at 4 with 'e' (distance 5), replace 'n' at 5 with 'f' (distance 2.24), 
cot	covfefe	5	0.721	2	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 't' at 3 with 'e' (distance 2), 
cpff	covfefe	4	0.754	6.32	insert 'o' at 2, replace 'p' at 2 with 'v' (distance 6.32), insert 'e' at 5, insert 'e' at 7, 
cv	covfefe	5	0.786	0	insert 'o' at 2, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
cvo	covfefe	5	0.729	6	insert 'o' at 2, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'o' at 3 with 'e' (distance 6), 
calve	covfefe	5	0.709	10.1	insert 'o' at 2, insert 'v' at 3, replace 'a' at 2 with 'f' (distance 3), replace 'l' at 3 with 'e' (distance 6.08), replace 'v' at 4 with 'f' (distance 1), 
cantonese	covfefe	6	0.705	13.6	delete 'a' at 2, delete 'n' at 3, replace 't' at 4 with 'o' (distance 4), replace 'o' at 5 with 'v' (distance 5.39), replace 'n' at 6 with 'f' (distance 2.24), replace 's' at 8 with 'f' (distance 2), 
caravette	covfefe	6	0.705	12.9	delete 'a' at 2, delete 'r' at 3, replace 'a' at 4 with 'o' (distance 8.06), replace 'e' at 6 with 'f' (distance 1.41), replace 't' at 7 with 'e' (distance 2), replace 't' at 8 with 'f' (distance 1.41), 
carolee	covfefe	5	0.743	22.7	replace 'a' at 2 with 'o' (distance 8.06), replace 'r' at 3 with 'v' (distance 2), replace 'o' at 4 with 'f' (distance 5.1), replace 'l' at 5 with 'e' (distance 6.08), replace 'e' at 6 with 'f' (distance 1.41), 
carolee's	covfefe	6	0.705	7.93	delete 'a' at 2, delete 'r' at 3, replace 'l' at 5 with 'v' (distance 5.1), replace 'e' at 6 with 'f' (distance 1.41), replace ''' at 8 with 'f' (non-letter, distance ignored), replace 's' at 9 with 'e' (distance 1.41), 
caroleen	covfefe	6	0.721	20.4	delete 'a' at 2, replace 'r' at 3 with 'o' (distance 5), replace 'o' at 4 with 'v' (distance 5.39), replace 'l' at 5 with 'f' (distance 5), replace 'e' at 7 with 'f' (distance 1.41), replace 'n' at 8 with 'e' (distance 3.61), 
cave	covfefe	4	0.754	8.06	replace 'a' at 2 with 'o' (distance 8.06), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
cavennes	covfefe	5	0.721	15.3	replace 'a' at 2 with 'o' (distance 8.06), replace 'e' at 4 with 'f' (distance 1.41), replace 'n' at 5 with 'e' (distance 3.61), replace 'n' at 6 with 'f' (distance 2.24), delete 's' at 8, 
caves	covfefe	4	0.709	9.48	replace 'a' at 2 with 'o' (distance 8.06), insert 'f' at 4, insert 'f' at 6, replace 's' at 5 with 'e' (distance 1.41), 
celie	covfefe	5	0.709	11.6	insert 'o' at 2, insert 'v' at 3, replace 'e' at 2 with 'f' (distance 1.41), replace 'l' at 3 with 'e' (distance 6.08), replace 'i' at 4 with 'f' (distance 4.12), 
celle	covfefe	5	0.709	12.5	insert 'o' at 2, insert 'v' at 3, replace 'e' at 2 with 'f' (distance 1.41), replace 'l' at 3 with 'e' (distance 6.08), replace 'l' at 4 with 'f' (distance 5), 
cence	covfefe	5	0.709	6.43	insert 'o' at 2, insert 'v' at 3, replace 'e' at 2 with 'f' (distance 1.41), replace 'n' at 3 with 'e' (distance 3.61), replace 'c' at 4 with 'f' (distance 1.41), 
